,2015_div,2015_fc_rank,2015_race_days,2015_team,2015_uci_rank,2015_wins,2015_year_km,2016_div,2016_fc_rank,2016_race_days,2016_team,2016_uci_rank,2016_wins,2016_year_km,2017_div,2017_fc_rank,2017_race_days,2017_team,2017_uci_rank,2017_wins,2017_year_km,2018_div,2018_fc_rank,2018_race_days,2018_team,2018_uci_rank,2018_wins,2018_year_km,followers,height,mount_jerseys,nation,point_jerseys,sprint_jerseys,total_wins,youth_jerseys,name
272,PRT,2045.0,9.0,Coldeportes - Claro,-,1.0,922.5,PRT,510.0,64.0,Team Katusha,-,0.0,9520.6,PRT,264.0,43.0,Team Katusha - Alpecin,115,0.0,6455.1,PRT,433.0,65.0,Team Katusha - Alpecin,231,0.0,9840.2,5,,0,Colombia,1,0,1,1,J.Restrepo
273,CONT,763.0,41.0,Team Ecuador,-,2.0,5864.5,PROF,437.0,39.0,Verva - ActiveJet Pro Cycling Team,-,0.0,6089.5,PROF,1074.0,13.0,Soul Brasil Pro Cycling Team,-,0.0,2081.3,PROF,912.0,58.0,Burgos - BH,-,0.0,9122.3,3,,3,Spain,1,0,2,0,J.Simon
274,PRT,268,64.0,Etixx - Quick Step,-,0.0,10030.1,PRT,245,85.0,Etixx - Quick Step,220,0.0,13977.2,PRT,657,64.0,Quick-Step Floors,282,0.0,10824.8,PRT,164,62.0,Quick-Step Floors,156,0.0,10238.0,1,1.86,1,Belgium,0,0,0,1,P.Serry
275,PRT,1173,85.0,Team Giant - Alpecin,-,0.0,13519.9,PRT,619,78.0,Team Giant - Alpecin,-,0.0,12676.3,PRT,871,93.0,Trek - Segafredo,246,0.0,14935.6,PRT,746,70.0,Trek - Segafredo,181,0.0,11338.8,0,1.80,0,Netherlands,0,0,2,1,K.De Kort
276,,353,39.0,Jayco-AIS WTA,-,0.0,5276.1,PRT,358,63.0,Orica - BikeExchange,-,0.0,9566.6,PRT,128,76.0,Orica - Scott,115,1.0,12146.7,PRT,125,78.0,Mitchelton - Scott,131,0.0,12411.6,3,,0,Australia,1,0,1,4,J.Haig
277,PRT,1123.0,65.0,Movistar Team,-,0.0,10131.2,PRT,295.0,55.0,Movistar Team,-,1.0,8262.0,PRT,857.0,48.0,Movistar Team,321,0.0,7142.3,PRT,818.0,80.0,Movistar Team,386,1.0,12336.4,4,1.67,0,Colombia,0,0,1,0,D.Quintana
278,CONT,215,46.0,Hincapie Racing Team,-,0.0,6194.3,PROF,96,74.0,ONE Pro Cycling,-,2.0,11354.9,PROF,381,79.0,Wanty - Groupe Gobert,-,0.0,12963.5,PROF,142,72.0,Wanty - Groupe Gobert,-,0.0,11662.0,3,,0,New Zealand,1,0,3,2,D.Smith
279,CONT,751,59.0,SEG Racing,-,1.0,8726.7,PRT,1679,64.0,Team LottoNL-Jumbo,-,0.0,10198.9,PRT,756,63.0,Team LottoNL - Jumbo,200,1.0,9509.5,PRT,279,78.0,Team LottoNL - Jumbo,268,0.0,11428.9,2,,2,Netherlands,0,0,0,0,K.Bouwman
280,PROF,149,66.0,Topsport Vlaanderen - Baloise,-,1.0,10003.2,PRT,383,71.0,Team LottoNL-Jumbo,200,0.0,10638.8,PRT,147,71.0,Team LottoNL - Jumbo,-,2.0,10681.1,PRT,128,74.0,Lotto - Soudal,185,1.0,11146.5,4,,0,Belgium,0,0,8,1,V.Campenaerts
281,PROF,1558,42.0,CCC Sprandi Polkowice,-,0.0,5727.4,PROF,937,44.0,CCC Sprandi Polkowice,-,1.0,6136.8,PROF,824,62.0,CCC Sprandi Polkowice,-,0.0,10175.8,PROF,1029,57.0,CCC Sprandi Polkowice,-,0.0,8794.2,1,,0,Poland,0,0,3,0,M.Paluta
